targetname,onlytargetmbon,with1MBONxx,with2ormoreMBONxx,overallsynapticsites
MBON01,0.7877986061938658,0.1963999552789475,0.0158014385271866,1.0
MBON02,0.7911000485672657,0.2054395337542496,0.0034604176784847,1.0
MBON03,0.7501481042654028,0.2316350710900473,0.0182168246445497,1.0
MBON04,0.4193797253510261,0.5139638944607313,0.0666563801882425,1.0
MBON05,0.616672975018925,0.33937358062074185,0.043953444360333084,1.0
MBON06,0.8828492303728989,0.102531074901784,0.014619694725317189,1.0
MBON07,0.9710920770877944,0.027744157899636905,0.0011637650125686622,1.0
MBON09,0.8349682631275245,0.15464512406231967,0.0103866128101558,1.0
MBON10,0.3083623693379791,0.5914634146341463,0.10017421602787456,1.0
MBON11,0.83347876672484,0.15066899360093078,0.015852239674229204,1.0
MBON12,0.528745247148289,0.36555133079847907,0.10570342205323194,1.0
MBON13,0.705750977107761,0.2550251256281407,0.03922389726409827,1.0
MBON14,0.9807701963147061,0.018978761861726163,0.00025104182356780637,1.0
MBON15,0.2611073137388927,0.47573479152426523,0.2631578947368421,1.0
MBON15-like,0.23749119097956306,0.5426356589147286,0.21987315010570824,1.0
MBON16,0.3425307178271179,0.5727527484371632,0.0847165337357189,1.0
MBON17,0.4348137535816619,0.4326647564469914,0.13252148997134672,1.0
MBON17-like,0.22289156626506024,0.6093605189990732,0.16774791473586653,1.0
MBON18,0.7680302890386924,0.21645581309446857,0.015513897866839044,1.0
MBON19,0.4898965007392804,0.4248398225726959,0.08526367668802366,1.0
MBON20,0.3693209574987787,0.48168050806057644,0.14899853444064484,1.0
MBON21,0.3235080058224163,0.5822416302765647,0.09425036390101892,1.0
MBON22,0.35,0.425,0.225,1.0
MBON23,0.30489964580873674,0.6434474616292798,0.05165289256198347,1.0
MBON24,0.5152687296416938,0.4596905537459283,0.02504071661237785,1.0
MBON25,0.4195323246217332,0.4250343878954608,0.15543328748280605,1.0
MBON26,0.3838778409090909,0.5174005681818182,0.09872159090909091,1.0
MBON27,0.3707345286292655,0.5647773279352226,0.06448814343551186,1.0
MBON28,0.2783975659229209,0.6551724137931034,0.06643002028397565,1.0
MBON29,0.3104125736738703,0.5961034708578913,0.09348395546823837,1.0
MBON30,0.3437012129218206,0.558424402545935,0.09787438453224451,1.0
MBON31,0.33997901364113325,0.48898216159496327,0.17103882476390347,1.0
MBON32,0.41437964551172096,0.4426815323041738,0.1429388221841052,1.0
MBON33,0.3047945205479452,0.5157534246575343,0.17945205479452056,1.0
MBON34,0.3305785123966942,0.5165289256198347,0.15289256198347106,1.0
MBON35,0.3024079320113314,0.5180594900849859,0.1795325779036827,1.0
